hour_ist,count,avg_risk,period
0,1850,7.3,NIGHT PATROL
1,4342,6.58,NIGHT PATROL
2,7015,6.33,NIGHT PATROL
3,9068,5.89,NIGHT PATROL
4,10470,5.49,NIGHT PATROL
5,10234,5.23,NIGHT PATROL
6,9000,5.35,LOW ACTIVITY
7,8820,5.53,LOW ACTIVITY
8,11461,5.32,PEAK CONGESTION
9,10895,5.17,PEAK CONGESTION
10,12872,5.22,PEAK CONGESTION
11,12231,5.12,PEAK CONGESTION
12,6739,5.09,LOW ACTIVITY
13,4131,5.38,LOW ACTIVITY
14,2085,5.39,LOW ACTIVITY
15,443,6.39,LOW ACTIVITY
16,215,6.52,LOW ACTIVITY
17,117,5.26,PEAK CONGESTION
18,37,5.27,PEAK CONGESTION
19,5,6.4,PEAK CONGESTION
20,12,6.0,PEAK CONGESTION
21,36,6.08,PEAK CONGESTION
22,177,6.2,NIGHT PATROL
23,149,6.18,NIGHT PATROL
