h3_cell,count,total_risk,mean_risk,max_risk,dominant_type,dominant_vehicle,dominant_station,peak_hour_ist,pct_junction,n_validated,lat_centroid,lon_centroid,density_score,risk_tier,smoothed_risk,violations_per_day,cii_raw,cii,cii_tier
8860144a2dfffff,4,48,12.0,12,WRONG PARKING,LORRY/GOODS VEHICLE,No Police Station,6,0.0,4,13.068659992396318,77.4403463071229,0.1,LOW,23.1,0.028169014084507043,6.562009445396415,13.5,LOW
8860144b4dfffff,19,57,3.0,3,WRONG PARKING,SCOOTER,Chikkabanavara,5,0.0,19,13.083512871338408,77.48266647745744,0.1,LOW,8.1,0.13380281690140844,1.6837881890751036,3.5,LOW
8860144b5bfffff,9,114,12.666666666666666,15,WRONG PARKING,HGV,No Police Station,6,0.0,9,13.06864073307749,77.44875953257177,0.2,LOW,23.1,0.06338028169014084,6.842760619105334,14.1,LOW
8860145109fffff,1,3,3.0,3,NO PARKING,SCOOTER,Thalagattapura,9,0.0,1,12.881501277965327,77.51720660489362,0.0,LOW,0.4,0.007042253521126761,1.2324904919129018,2.5,LOW
8860145121fffff,3,23,7.666666666666667,10,PARKING IN A MAIN ROAD,CAR,Kengeri,7,0.0,3,12.911418799644771,77.51770197122235,0.0,LOW,19.1,0.02112676056338028,4.573633691366797,9.4,LOW
8860145123fffff,5,15,3.0,3,NO PARKING,SCOOTER,Kengeri,12,0.0,5,12.911447776219903,77.50928648340518,0.0,LOW,10.1,0.035211267605633804,1.7482091361223724,3.6,LOW
8860145125fffff,9,57,6.333333333333333,9,WRONG PARKING,CAR,Kengeri,10,0.0,9,12.918883581024376,77.5220339795782,0.1,LOW,19.1,0.06338028169014084,4.057201766484168,8.3,LOW
8860145129fffff,1,6,6.0,6,NO PARKING,JEEP,Kengeri,11,0.0,1,12.903924763592263,77.52178605560616,0.0,LOW,11.4,0.007042253521126761,3.114983073515276,6.4,LOW
886014512bfffff,4,33,8.25,12,NO PARKING,CAR,Kengeri,2,0.0,4,12.903954227927066,77.5133703846751,0.1,LOW,11.0,0.028169014084507043,3.934413006227275,8.1,LOW
8860145141fffff,2,14,7.0,9,WRONG PARKING,MAXI-CAB,Thalagattapura,14,0.0,2,12.873975101584405,77.52970588676098,0.0,LOW,84.7,0.014084507042253521,8.295248046140344,17.0,LOW
8860145149fffff,17,154,9.058823529411764,20,WRONG PARKING,CAR,Thalagattapura,4,0.0,17,12.866479088320258,77.5337897363267,0.3,LOW,122.7,0.11971830985915492,10.793078456776618,22.2,MODERATE
886014514dfffff,64,425,6.640625,15,WRONG PARKING,CAR,Thalagattapura,11,0.0,58,12.873943687172758,77.53812228928288,0.9,LOW,131.1,0.4507042253521127,10.284602906758055,21.1,MODERATE
8860145165fffff,42,204,4.857142857142857,12,WRONG PARKING,SCOOTER,K.S. Layout,13,0.0,41,12.903865019113976,77.53861979153666,0.4,LOW,118.4,0.29577464788732394,8.975113589549164,18.4,LOW
8860145167fffff,4,18,4.5,5,PARKING IN A MAIN ROAD,SCOOTER,K.S. Layout,7,0.0,4,12.903895027346303,77.53020252464326,0.0,LOW,40.4,0.028169014084507043,4.9566681991056125,10.2,LOW
8860145169fffff,1,6,6.0,6,WRONG PARKING,CAR,Thalagattapura,15,0.0,1,12.88890449987789,77.5383710279848,0.0,LOW,17.7,0.007042253521126761,3.767802064613199,7.7,LOW
88601451e5fffff,2,20,10.0,10,PARKING IN A MAIN ROAD,CAR,Kengeri,4,0.0,2,12.90406936766031,77.47971568699954,0.0,LOW,53.6,0.014084507042253521,8.130262882935597,16.7,LOW
8860145335fffff,44,266,6.045454545454546,15,NO PARKING,CAR,Thalagattapura,11,0.0,42,12.859014700595626,77.52945760502502,0.5,LOW,60.0,0.30985915492957744,6.993164055821305,14.4,LOW
8860145803fffff,25,143,5.72,20,WRONG PARKING,PASSENGER AUTO,Kamakshipalya,2,0.0,25,12.993723380152147,77.50643824130715,0.3,LOW,128.9,0.176056338028169,9.717472980315126,20.0,MODERATE
8860145809fffff,121,369,3.049586776859504,6,NO PARKING,SCOOTER,Kamakshipalya,14,0.0,121,12.986207381130708,77.51894082015416,0.7,LOW,148.9,0.852112676056338,9.453854855350313,19.4,LOW
