alert_id,h3_cell,junction_name,police_station,alert_level,assigned_unit,status,created_at,scita_payload,scita_sync_status,escalated
1,8861892e9bfffff,BTP051 - Safina Plaza Junction,Shivajinagar,CRITICAL,FKDEV00004,ESCALATED,2026-06-20T08:10:28.316465+00:00,"{""alert_id"": 1, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8861892e9bfffff"", ""junction_name"": ""BTP051 - Safina Plaza Junction"", ""police_station"": ""Shivajinagar"", ""location"": {""lat"": 12.981909468249768, ""lon"": 77.60695690792922}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""SCOOTER"", ""n_violations_historical"": 5818, ""total_risk_score"": 29795}, ""congestion_impact"": {""cii_score"": 79.7, ""cii_tier"": ""SEVERE"", ""estimated_cost_inr_per_day"": 194561562.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 38.2, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00004"", ""generated_at_utc"": ""2026-06-20T11:07:24.091874+00:00"", ""data_sent_to_scita"": true}",SENT,1
2,8860145b05fffff,BTP032 - Windsor Circle,Shivajinagar,CRITICAL,FKDEV00012,ESCALATED,2026-06-20T08:10:28.316465+00:00,"{""alert_id"": 2, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b05fffff"", ""junction_name"": ""BTP032 - Windsor Circle"", ""police_station"": ""Shivajinagar"", ""location"": {""lat"": 12.989377061570249, ""lon"": 77.5993562090909}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 242, ""total_risk_score"": 1408}, ""congestion_impact"": {""cii_score"": 45.0, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26361750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 21.6, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00012"", ""generated_at_utc"": ""2026-06-20T11:07:24.130299+00:00"", ""data_sent_to_scita"": true}",SENT,1
3,8860145b09fffff,BTP032 - Windsor Circle,Shivajinagar,CRITICAL,FKDEV00037,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 3, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b09fffff"", ""junction_name"": ""BTP032 - Windsor Circle"", ""police_station"": ""Shivajinagar"", ""location"": {""lat"": 12.989377061570249, ""lon"": 77.5993562090909}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 242, ""total_risk_score"": 1408}, ""congestion_impact"": {""cii_score"": 45.0, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26361750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 40.6, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00037"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
4,8860145b0dfffff,BTP032 - Windsor Circle,Shivajinagar,CRITICAL,FKDEV00041,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 4, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b0dfffff"", ""junction_name"": ""BTP032 - Windsor Circle"", ""police_station"": ""Shivajinagar"", ""location"": {""lat"": 12.989377061570249, ""lon"": 77.5993562090909}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 242, ""total_risk_score"": 1408}, ""congestion_impact"": {""cii_score"": 45.0, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26361750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 25.9, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00041"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
5,8860145b6dfffff,BTP032 - Windsor Circle,Shivajinagar,CRITICAL,FKDEV00063,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 5, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b6dfffff"", ""junction_name"": ""BTP032 - Windsor Circle"", ""police_station"": ""Shivajinagar"", ""location"": {""lat"": 12.989377061570249, ""lon"": 77.5993562090909}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 242, ""total_risk_score"": 1408}, ""congestion_impact"": {""cii_score"": 45.0, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26361750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 35.5, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00063"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
6,8860145a27fffff,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,CRITICAL,FKDEV00006,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 6, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145a27fffff"", ""junction_name"": ""BTP016 - 5th Main Road, RPC Layout"", ""police_station"": ""Vijayanagara"", ""location"": {""lat"": 12.967077948378236, ""lon"": 77.53779390413581}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""SCOOTER"", ""n_violations_historical"": 1161, ""total_risk_score"": 5421}, ""congestion_impact"": {""cii_score"": 48.9, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 16677750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 48.4, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00006"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
7,8860145849fffff,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,CRITICAL,FKDEV00050,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 7, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145849fffff"", ""junction_name"": ""BTP016 - 5th Main Road, RPC Layout"", ""police_station"": ""Vijayanagara"", ""location"": {""lat"": 12.967077948378236, ""lon"": 77.53779390413581}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""SCOOTER"", ""n_violations_historical"": 1161, ""total_risk_score"": 5421}, ""congestion_impact"": {""cii_score"": 48.9, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 16677750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 22.4, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00050"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
8,8860145859fffff,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,CRITICAL,FKDEV00055,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 8, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145859fffff"", ""junction_name"": ""BTP016 - 5th Main Road, RPC Layout"", ""police_station"": ""Vijayanagara"", ""location"": {""lat"": 12.967077948378236, ""lon"": 77.53779390413581}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""SCOOTER"", ""n_violations_historical"": 1161, ""total_risk_score"": 5421}, ""congestion_impact"": {""cii_score"": 48.9, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 16677750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 22.0, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00055"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
9,8861892ec9fffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00024,PENDING,2026-06-20T11:07:24.131965+00:00,"{""alert_id"": 9, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8861892ec9fffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 23.4, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00024"", ""generated_at_utc"": ""2026-06-20T11:07:24.131965+00:00"", ""data_sent_to_scita"": true}",SENT,0
10,8861892ec1fffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00051,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 10, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8861892ec1fffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 24.4, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00051"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
